,ASIN,Title,Brand,Best-Sellers_Rank,Best_Sellers_Rank_fields,Product_Dimensions_Inches,Item_Weight_Pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_Model_Number,Average_Battery_Life_In_Hours),Batteries,Card_Description,Chipset_Brand,Voltage,Series,National_Stock_Number,Wireless_Type,Max_Screen_Resolution_Pixels,Standing_Screen_Display_Size_Inches,Operating_System,Color,Graphics_Coprocessor,Number_of_USB_2.0_Ports,Number_of_USB_3.0_Ports,Computer_Memory_Type,Processor_Brand,Processor_Count,Memory_Speed_In_GHz,Hard_Drive_Interface,Hardware_Platform,Flash_Memory_Size_In_GB
1933,B07ZMBSZ42,"Acer Chromebook 14 CB3-431-12K1 14"" Chromebook - 1366 x 768 - Atom x5 E8000-4 GB RAM - 32 GB Flash Memory - Sparkly Silver - Chrome OS - Intel HD Graphics - ComfyView - English (US) Keyboard -",Acer,24433, Computers & Accessories ,20 x 12 x 3 ,5.8,2019-10-26,,NX.GC2AA.024,,1 Lithium Polymer batteries required. (included),Integrated,Intel,,Acer Chromebook,,"802.11a/b/g/n/ac, 802.11abg, 802.11a/b/g/n, 802.11a, 802.11ac",1366 x 768,14 ,Chrome OS,Silver,Intel HD Graphics,1,1,Unknown,,1,,Unknown,,32
1934,B07C3717CV,Dell Inspiron 15 i5577-5858BLK-PUS Gaming Laptop | Intel Core i5-7300HQ | 8GB DDR4 2400 MHz | 1TB SATA HDD | Windows 10 Home,Dell,115512, Computers & Accessories ,20 x 13 x 3 ,5.64,2018-04-10,,i5577-5858BLK-PUS,,,Dedicated,Nvidia,,Dell Inspiron,,Bluetooth,,15.6 ,Windows 10,,NVIDIA GeForce GTX 1050,,,DDR SDRAM,Intel,4,2.4,USB,,
1935,B084RFRZ99,"Dell Inspiron 5000 15.6 Inch FHD 1080P Touchscreen Laptop (Intel Core i7-1065G7 up to 3.9GHz, 16GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Backlit KB, HDMI, WiFi, Bluetooth, Win10) (Renewed)",Dell,75977, Computers & Accessories ,14.33 x 9.8 x 0.71 ,4.03,2020-02-13,,,,,,Intel,,Dell,,Bluetooth,1920 x 1080,15.6 ,Windows 10 Home,,Intel UHD Graphics,,,DDR4 SDRAM,Intel,4,3.9,Serial ATA,PC,
1936,B08CS1JBML,"ConceptD 7 Pro CN715-71P-727W Creator Laptop, Intel i7-9750H, NVIDIA Quadro RTX 3000, NVIDIA RTX Studio, 15.6"" 4K Ultra HD IPS, 100% Adobe RGB, Pantone Validated, Delta E<2, 32GB DDR4, 1TB NVMe SSD",Acer,144074, Computers & Accessories ,14.11 x 10.04 x 0.7 ,4.63,2020-07-04,,NX.C59AA.004,8 Hours,1 Lithium ion batteries required. (included),Dedicated,NVIDIA,,CN715-71P-727W,,Bluetooth,,15.6 ,Windows 10 Pro,,,,4,DDR4 SDRAM,Intel,6,4.5,Gigabit Ethernet,,1
1937,B07MHXFJS6,"2019 ASUS - 2-in-1 14"" Full HD Touch-Screen Laptop - 8th Gen Intel Core i5-8250U - 8GB Memory - 128GB Solid State Drive - Windows 10 - Light Gray",ASUS,101863, Computers & Accessories ,12.9 x 8.9 x 0.8 ,3.55,2019-01-04,,BI5T7,9 Hours,1 Lithium ion batteries required. (included),,Intel,,ASUS Q4O5UA-BI5T7,,,,14 ,Windows 10,Grey,,,,DDR SDRAM,Intel,4,,Solid State,PC,128 GB
1938,B079Q5Y4Q1,"Dell Latitude 7490 Intel Core i7-8650U 16GB DDR4 RAM, 512GB SSD 14"" FHD Windows 10 Pro Laptop",Tech Wizards,11007, Computers & Accessories ,21.4 x 17.1 x 4.5 ,3.09,2018-02-09,,,,1 Lithium ion batteries required.,Integrated,Intel,120 volts,7490,,,,14 ,Windows 10,,Intel UHD Graphics 620,,,SDRAM,Intel,1,2.4,Serial ATA,PC,512 GB
1939,B082CZZGX6,"XINYANGCH 2021 15.6-inch Laptop 8G + 128G Intel celeron J3455 high-Performance Quad-core CPU, 2PCS 4500mAh can Work continuously for 6-8 Hours, WiFi, HDMI, Bluetooth 4.0, Windows 10 (Silver 8G+128G)",XINYANGCH,21006, Computers & Accessories ,16.46 x 11.61 x 3.43 ,3.96,2019-12-04,,,,,,,,NB15A,,Bluetooth,1920 x 1080,15.6 ,Windows 10,Silver 8G+128G,1920*1080,,,DDR3 SDRAM,Intel,4,2.3,USB,PC,
1940,B08P6TY5BM,"Laptop 15.6 inch, 1920x1080 HD Display, Intel j4115CPU. 8GB RAM，256GB M2 SSD，Windows 10pro",HAOMA,8803, Computers & Accessories ,14.17 x 9.25 x 0.43 ,3.3,2020-11-27,,L02,,,,Intel,,,,"Bluetooth, 802.11b",1920*1080 Lines Per Inch,15.6 ,Windows 10 Pro,Gray,Intel UHD 600,,,DDR4 SDRAM,Intel,4,1.8,Serial ATA-300,PC,
1941,B08PVGW9K3,"Used Well Chromebook C200M -11.6 inches 2.16-GHz Intel Bay Trail-M Dual-Intel Core N2830 CPU with 4GB of RAM and 16GB of Flash Storage, Chrome OS-Black/Silver",Ubrands,1065, Computers & Accessories ,12 x 7.9 x 0.8 ,3.51,2020-12-07,,ASUS C200m,,1 Lithium ion batteries required. (included),,,,ASUS Chromebook,,Bluetooth,1366 x 768 ,11.6 ,Windows,,N2830,,,DDR3 SDRAM,Intel,2,2.16,ESATA,PC,16 GB
1942,B08JBVT48L,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, HD IPS Display, Windows 10, Touch Numeric Keypad, Dual Band WiFi, Grey",Winnovo,3612, Computers & Accessories ,14.21 x 9.96 x 2.91 ,4.37,2020-11-08,,Winnovo N140,,1 Lithium Polymer batteries required. (included),Integrated,,220 volts_of_alternating_current,Winnovo N140,,"802.11bgn, 802.11ac",1366*768 ,14 ,Windows 10 S,Gray,Intel HD Graphic 500,,,DDR3 SDRAM,Intel,2,,USB 3.0,PC,128 GB
1943,B07Z599CM3,"Lenovo ThinkPad X1 Extreme Laptop (Intel i7-9750H 6-Core, 32GB RAM, 1TB m.2 SATA SSD, GTX 1650, 15.6"" Full HD (1920x1080), Fingerprint, WiFi, Bluetooth, Webcam, 2xUSB 3.0, 1xHDMI, Win 10 Pro)",Lenovo,17011, Computers & Accessories ,14.2 x 9.7 x 0.7 ,3.75,2019-10-18,,,,1 Lithium ion batteries required. (included),Integrated,Nvidia,,ThinkPad X1 Extreme,,Bluetooth,1920 x 1080,15.6 ,Windows 10 Pro,,NVIDIA GeForce GTX 1650,,,DDR4 SDRAM,Intel,6,4.5,Solid State,,1 TB
1944,B086MP21NF,"Razer Blade 15 Studio Edition Laptop 2020: Intel Core i7-10875H 8-Core, NVIDIA Quadro RTX 5000, 15.6” 4K OLED Touch, 32GB RAM, 1TB SSD, CNC Aluminum, Chroma RGB, Thunderbolt 3, Creator Ready",Razer,35328, Computers & Accessories ,13.98 x 0.7 x 9.25 ,9.03,2020-05-28,,RZ09-0330QEM3-R3U1,,1 Lithium ion batteries required. (included),Dedicated,NVIDIA,,Blade 15,,"Bluetooth, 802.11a/b/g/n/ac",1920 x 1080 ,15.6 ,Windows 10,,NVIDIA Quadro RTX 5000 Studio Edition,,3,DDR4 SDRAM,Intel,8,2.9330000000000003,Thunderbolt 3,PC,32
1945,B07W5DJQLS,"Lenovo ThinkPad P53 20QN002KUS 15.6-Inch Mobile Workstation 2.3 GHz Intel Core i9-9880H, 16 GB RAM, 512 GB SSD, NVIDIA Quadro RTX 4000, Windows 10 Pro, Black",Lenovo,77362, Computers & Accessories ,14.9 x 9.9 x 1.2 ,5.51,2019-08-06,,ThinkPad P53,,,Dedicated,NVIDIA,,ThinkPad P53 20QN002KUS Mobile Workstation,,802.11ac,1920 x 1080,15.6 ,Windows 10 Pro,Black,NVIDIA Quadro RTX 4000,1,1,Unknown,Intel,1,2.3,Solid State,PC,512
1946,B0186JD9HM,"Lenovo ThinkPad P50 20EN0018US Laptop (Windows 7 Pro, Intel Core i7, 15.6"" LED-Lit Screen, Storage: 256 GB, RAM: 8 GB) Black",Lenovo,452606, Computers & Accessories ,9 x 15 x 3 ,8.0,2015-11-18,,20EN0018US,9.7 Hours,100 Lithium ion batteries required. (included),Dedicated,Nvidia,,ThinkPad,,Bluetooth,1920x1080 ,15.6 ,Windows 7 Professional,,NVIDIA Quadro M1000M,,2,Unknown,Intel,2,2.133,,,256 GB
1947,B07QS8TVWB,"AORUS 15-WA-F74ADW 15"" Thin Bezel LG 144Hz FHD IPS LCD, Intel i7-9750H, NVIDIA GeForce RTX 2060, Samsung 16GB RAM, Intel M.2 PCIe NVMe 512GB SSD, Win10, RGB KB, Ultra Slim Metal Chassis Gaming Laptop",Gigabyte,89053, Computers & Accessories ,14.2 x 9.68 x 0.96 ,8.1,2019-04-23,,AORUS 15-WA-F74ADW,,1 Lithium Polymer batteries required. (included),Dedicated,NVIDIA,,AORUS 15,,"Bluetooth, 802.11ac",1920 x 1080 ,15.6 ,Windows 10 Home,,NVIDIA GeForce,,4,SODIMM,Intel,1,2.666,Serial ATA,,
1948,B08PBZRV3C,HP OMEN Gaming Laptop-15-ek0019nr-Intel Core i5-10300H-8GB DDR4-256 GB SSD-GeForce RTX 2060,HP,0,,20 x 12 x 3 ,8.03,2021-01-08,,15-ek0019nr,,1 Lithium ion batteries required. (included),Dedicated,NVIDIA,,HP Omen,,"Bluetooth, 5 GHz Radio Frequency",1920 x 1080 ,15.6 ,Windows 10 Home,,Discrete,,,DDR4 SDRAM,Intel,6,4.5,PCIE x 2,"Linux, Windows, Mac",256 GB
1949,B08PF2HZVL,"Laptop 14 Inch, Winnovo V146, Windows 10, 4GB RAM, 32GB ROM, Intel Atom Quad Core Processor, 19201080 FHD IPS Display, HDMI, Silver",Winnovo,2787, Computers & Accessories ,14.37 x 9.72 x 2.4 ,4.34,2020-12-17,,V146,6 Hours,1 Lithium Polymer batteries required. (included),,Intel,,,,"802.11bgn, 802.11a",1920x1080 ,14 ,Windows 10,Silver(4+32),Atom Z8350,,,DDR3 SDRAM,Intel,4,,USB 2.0,PC,
1950,B08MT7WLGK,"Thomson WWNEO15I5-8BK1T 15.6 in 2.7GHz Intel Core I5 Broadwell I5-5257U Processor 8GB DDR3L RAM |1TB Hard Disk & Intel Iris 6100 Graphic Processor, Windows 10 Home, Black",Thomson,88018, Electronics ,15.55 x 10.43 x 3.11 ,3.96,2020-11-04,,WWNEO15I5-8BK1T,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,0,,,,
1951,B08G8N5R2M,"HP 15-dw2065st 15.6"" Notebook 10th GEN i5-1035G1 8GB RAM 256GB SSD WiFi CAM Windows 10",HP,46762, Computers & Accessories ,19.02 x 12.09 x 2.68 ,5.07,2020-08-19,,9WV65UA,,1 Lithium Metal batteries required. (included),,Intel,,15-dw2065st,,Bluetooth,1366X768 ,15.6 ,Windows 10 Home,,Intel UHD Graphics,,,DDR4 SDRAM,Intel,4,3.6,Solid State,PC,256 GB
1952,B086DSHM43,"MSI Modern 14 A10RAS-1030 14"" Ultra Thin and Light Professional Laptop Intel Core i7-10510U MX330 16GB DDR4 1TB NVMe SSD Win10Pro",MSI,50551, Computers & Accessories ,12.68 x 8.74 x 0.63 ,2.62,2020-03-27,,Modern 14 A10RAS-1030,,,Dedicated,NVIDIA,,Modern 14 A10RAS-1030,,802.11ac,1920 x 1080 ,14 ,Windows 10 Pro,,NVIDIA GeForce 330MX,,4,SODIMM,Intel,6,2.666,USB 3.2,PC,1
1953,B08116WD17,"Samsung Chromebook Plus 12.2"" 2-in-1 Intel m3 4GB 64GB eMMC XE520QAB-K02US",SAMSUNG,10039, Computers & Accessories ,11.35 x 0.67 x 8.2 ,2.98,2019-11-05,,,,,Integrated,Intel,120240 volts,Samsung Chromebook,,802.11ac,1900*1200 ,12.2 ,Chrome OS,Light Titan,Intel HD Graphics 615,2,,Unknown,Samsung,1,,,Chrome OS,64
1954,B0757K2PWH,"Acer Swift 5, 14"" Full HD Touch, 8th Gen Intel Core i7-8550U, 16GB LPDDR3, 512GB SSD, Windows 10, SF514-52T-82WQ",Acer,54706, Computers & Accessories ,12.95 x 8.98 x 0.59 ,2.14,2017-09-14,,SF514-52T-82WQ,8 Hours,1 Lithium ion batteries required. (included),Integrated,Intel,,Acer Swift,,802.11ac,1920 x 1080 ,14 ,Windows 10 Home,Charcoal Blue,Intel UHD Graphics 620,,3,Unknown,Intel,4,1.8,,PC,512
1955,B08CL1XX4X,"HP - Spectre x360 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory GeForce GTX 1650 Ti 1TB SSD - Nightfall Black - 15-EB0053DX 9GB30UA#ABA",HP,23352, Computers & Accessories ,14.2 x 8.9 x 0.8 ,4.23,2020-07-16,,Hp Spectre 15,,,Dedicated,NVIDIA,,15-EB0053DX,,"Bluetooth, 5 GHz Radio Frequency",3840 x 2160 ,15.6 ,Windows 10,Nightfall Black,NVIDIA GeForce GTX 1650 Ti,,,DDR4 SDRAM,Intel,6,,EIDE,Windows,512 GB
1956,B08M2X9GRV,"HP EliteBook 840 G7 14-inch Laptop (240K1US#ABA) Intel i5-10310U, 8GB RAM, 256GB SSD, IPS 1920x1080, Win10 Pro",HP,16247, Computers & Accessories ,12.7 x 8.5 x 0.7 ,2.9,2020-10-27,,240K1US#ABA,23 Hours,1 Lithium ion batteries required. (included),,Intel,,EliteBook 840 G7,,"802.11bgn, 802.11a, 802.11ac",1920 x 1080 ,14 ,Windows 10 Pro,Silver,Intel UHD Graphics,,,DDR4 SDRAM,Intel,1,,PCIE x 16,PC,256 GB
1957,B08N63ZSV7,"2020 15.6-inch Laptop 6G + 256G, Intel celeron J3455 high-Performance Quad-core CPU, 2PCS 4500mAh can Work continuously for 6-8 Hours, WiFi, HDMI, Bluetooth 4.0, Windows 10 (Silver 6G+256G)",XINYANGCH,27967, Computers & Accessories ,18.94 x 11.5 x 2.36 ,3.96,2019-12-04,,N15C,,,,,240 volts,NB15A,,Bluetooth,1920*1080 ,15 ,Windows 10,Silver 8G+128G,1920*1080,,,DDR3 SDRAM,Intel,4,2.3,ATA,PC,256 GB
1958,B08P6TY5BM,"Laptop 15.6 inch, 1920x1080 HD Display, Intel j4115CPU. 8GB RAM，256GB M2 SSD，Windows 10pro",HAOMA,8803, Computers & Accessories ,14.17 x 9.25 x 0.43 ,3.3,2020-11-27,,L02,,,,Intel,,,,"Bluetooth, 802.11b",1920*1080 Lines Per Inch,15.6 ,Windows 10 Pro,Gray,Intel UHD 600,,,DDR4 SDRAM,Intel,4,1.8,Serial ATA-300,PC,
1959,B08PVGW9K3,"Used Well Chromebook C200M -11.6 inches 2.16-GHz Intel Bay Trail-M Dual-Intel Core N2830 CPU with 4GB of RAM and 16GB of Flash Storage, Chrome OS-Black/Silver",Ubrands,1065, Computers & Accessories ,12 x 7.9 x 0.8 ,3.51,2020-12-07,,ASUS C200m,,1 Lithium ion batteries required. (included),,,,ASUS Chromebook,,Bluetooth,1366 x 768 ,11.6 ,Windows,,N2830,,,DDR3 SDRAM,Intel,2,2.16,ESATA,PC,16 GB
1960,B08JBVT48L,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, HD IPS Display, Windows 10, Touch Numeric Keypad, Dual Band WiFi, Grey",Winnovo,3612, Computers & Accessories ,14.21 x 9.96 x 2.91 ,4.37,2020-11-08,,Winnovo N140,,1 Lithium Polymer batteries required. (included),Integrated,,220 volts_of_alternating_current,Winnovo N140,,"802.11bgn, 802.11ac",1366*768 ,14 ,Windows 10 S,Gray,Intel HD Graphic 500,,,DDR3 SDRAM,Intel,2,,USB 3.0,PC,128 GB
1961,B08M2X9GRV,"HP EliteBook 840 G7 14-inch Laptop (240K1US#ABA) Intel i5-10310U, 8GB RAM, 256GB SSD, IPS 1920x1080, Win10 Pro",HP,16247, Computers & Accessories ,12.7 x 8.5 x 0.7 ,2.9,2020-10-27,,240K1US#ABA,23 Hours,1 Lithium ion batteries required. (included),,Intel,,EliteBook 840 G7,,"802.11bgn, 802.11a, 802.11ac",1920 x 1080 ,14 ,Windows 10 Pro,Silver,Intel UHD Graphics,,,DDR4 SDRAM,Intel,1,,PCIE x 16,PC,256 GB
1962,B07Y8KL5D6,"Apple 2018 13.3in MacBook Air, Mac OS, Intel Core i5, 1.6 GHz, Intel UHD Graphics 617, 128 GB, Gold (Renewed)",Apple,30786, Computers & Accessories ,13.8 x 10.3 x 3.7 ,5.11,2019-09-23,,5REE2LL/A,,1 Lithium Polymer batteries required. (included),Intel UHD Graphics 617,Intel,,5REE2LL/A,,"Bluetooth, 802.11a",2560 x 1600 ,13.3 ,Mac OS,Gold,Intel UHD Graphics 617,,,,Intel,1,3.6,Thunderbolt 3,,
1963,B08LR1CGS8,"HP Chromebook 14A-NA0031WM 14"" 4GB 64GB Intel Pentium Silver N5000 X4 1.1GHz Chrome OS, Silver (Renewed)",HP,78901, Computers & Accessories ,12.8 x 8.6 x 8.6 ,3.19,2020-10-23,,,13.5 Hours,1 Lithium ion batteries required. (included),Integrated,Intel,,Chromebook 14A-NA0031WM,,"Bluetooth, 802.11abg",1366x768 ,14 ,Chrome OS,Silver,Intel UHD Graphics 605,,,DDR4 SDRAM,Intel,4,,Solid State,PC,64 GB
1964,B08FBNCMYP,"Dell Latitude 7410 Laptop (Carbon Fiber) - 14.0"" FHD AG, IR Cam/Mic, ALS, Prox Sensor, Touch Display - 1.8 GHz Intel Core i7-10610U Quad-Core - 512GB SSD - 16GB - Windows 10 pro",Dell,74922, Computers & Accessories ,19.9 x 14.3 x 4.7 ,5.84,2020-11-13,,116467618999,,1 9V batteries required. (included),,Intel,,Latitude 7410,,Bluetooth,1920 x 1080 ,14 ,Windows 10 Pro,,Integrated Intel UHD Graphics,,,DDR4 SDRAM,Intel,4,1.8,ESATA,PC,512 GB
1965,B06XWFCKYX,"Lenovo Legion Y520 Gaming Laptop - Core i7-7700HQ, 16GB RAM, 2TB HDD + 256GB SSD, 1050Ti 4GB, 15.6"" Full HD",Lenovo,152239, Electronics ,14.96 x 10.43 x 1.02 ,5.28,2017-03-20,No,80WK00F9US,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,0,,,,
1966,B086T4Z4F8,"Dell XPS 13 7390 13.3"" Intel Core I7-10710U (6-CORE, UP to 4.70Ghz) 512GB PCIe SSD 16GB RAM FHD 1080P IPS WiFi 6 AX Windows 10 Professional",Dell,40104, Computers & Accessories ,11.9 x 7.8 x 0.46 ,2.1919999999999997,2020-04-06,,XPS 13 7390,,1 Lithium ion batteries required. (included),Integrated,,,XPS 13 7390,,Bluetooth,1920 X 1080 ,13.3 ,Windows 10 Pro,Silver,INTEL,,,SODIMM,Intel,1,,Solid State,PC,512 GB
1967,B08PF2HZVL,"Laptop 14 Inch, Winnovo V146, Windows 10, 4GB RAM, 32GB ROM, Intel Atom Quad Core Processor, 19201080 FHD IPS Display, HDMI, Silver",Winnovo,2787, Computers & Accessories ,14.37 x 9.72 x 2.4 ,4.34,2020-12-17,,V146,6 Hours,1 Lithium Polymer batteries required. (included),,Intel,,,,"802.11bgn, 802.11a",1920x1080 ,14 ,Windows 10,Silver(4+32),Atom Z8350,,,DDR3 SDRAM,Intel,4,,USB 2.0,PC,
1968,B08MT7WLGK,"Thomson WWNEO15I5-8BK1T 15.6 in 2.7GHz Intel Core I5 Broadwell I5-5257U Processor 8GB DDR3L RAM |1TB Hard Disk & Intel Iris 6100 Graphic Processor, Windows 10 Home, Black",Thomson,88018, Electronics ,15.55 x 10.43 x 3.11 ,3.96,2020-11-04,,WWNEO15I5-8BK1T,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,0,,,,
1969,B07LBBX6F1,"HP Stream 11 Pro G5 Black Notebook 11.6"" 1366 X 768 Pixels Intel Celeron N4000 4 GB DDR4-SDRAM 128 GB eMMC",HP,100035, Computers & Accessories ,11.81 x 8.19 x 0.71 ,2.8,2019-10-28,,5VD62UT,,1 Lithium ion batteries required. (included),Integrated,Intel,,HP Stream,,"802.11b, 802.11a, 802.11g",1366 x 768,11.6 ,Windows 10,,,1,1,SDRAM,Intel,2,2.4,Solid State,PC,128
1970,B017XPP2XE,"Dell XPS 12 XPS9250-4554WLAN Touchscreen Laptop (Windows 10, Intel Core M 6Y54 1.1 GHz, 12.5"" LED-lit Screen, Storage: 256 GB, RAM: 8 GB) black",Dell,60197, Computers & Accessories ,7.8 x 11.46 x 0.99 ,2.8,2017-06-28,,XPS9250-4554WLAN,4.5 Hours,1 Lithium ion batteries required. (included),Integrated,,,XPS 12,,802.11ac,3840 x 2160 ,12.5 ,Windows 10,Black,Intel HD Graphics 515,,1,Unknown,Intel,1,,Unknown,Unknown,256
1971,B08RNKWCYF,Used Well Chromebook 500c 11.6 inches with Intel N3050 Online Class or Business use，4GB RAM 16GB SSD eMMC Flash Memory - Chrome Operating System - Black,Ubrands,16056, Computers & Accessories ,17.8 x 12.9 x 3.8 ,2.54,2020-10-12,,500c,,1 Lithium ion batteries required. (included),Integrated,Intel,,500C,,Bluetooth,1366*768 ,11.6 ,Chrome OS,Black,400,,,DDR3L-1600 SDRAM,Intel,2,,ESATA,PC,16 GB
1972,B07TB9KWQT,"Lenovo ThinkPad T490 20N20008US 14"" Notebook - 1366 X 768 - Core i5 I5-8265U - 8 GB RAM - 256 GB SSD - Glossy Black - Windows 10 Pro 64-bit - Intel UHD Graphics 620 - Twisted Nematic (TN) - Engli",Lenovo,51577, Computers & Accessories ,13 x 8.9 x 0.7 ,5.2,2019-06-19,,20N20008US,,1 12V batteries required.,Integrated,Intel,,Lenovo Thinkpad,,802.11ac,1366 x 768,14 ,Windows 10 Home,,Intel UHD Graphics 620,,2,Unknown,,1,1.6,Serial ATA,,256
1973,B089KKVPVZ,"Lenovo ThinkPad T15 Gen 1 20S60029US 15.6"" Notebook - 1920 x 1080 - Core i5 i5-10210U - 8 GB RAM - 256 GB SSD - Black - Windows 10 Pro 64-bit - Intel UHD Graphics - in-Plane Switching (IPS) Techn",Lenovo,11235, Computers & Accessories ,19.3 x 13 x 3.3 ,6.05,2020-06-02,,20S60029US,,1 Lithium ion batteries required.,,Intel,,Lenovo Thinkpad,,Bluetooth,1920 x 1080,15.6 ,Windows 10 Pro,,,,,DDR4 SDRAM,Intel,4,1.6,USB-C,,256 GB
1974,B08PS8K73X,"One Netbook A1 Engineer PC 7"" Pocket PC Laptop UMPC Mini Portable Touch Screen Notebook Fingerprint Sensor CPU Intel Core M3-8100Y Windows 10 System 8GB RAM/512GB",One-Netbook,73298, Computers & Accessories ,6.8 x 5.3 x 0.75 ,2.46,2020-12-06,,A1 Engineer PC,,1 Lithium ion batteries required. (included),Integrated,,,Dell Precision,,,1920 x 1200 Lines Per Inch,7 ,Windows 10 Home,,Intel HD Graphics 615,,,DDR3 SDRAM,Intel,2,,ATA,PC,
1975,B08N63ZSV7,"2020 15.6-inch Laptop 6G + 256G, Intel celeron J3455 high-Performance Quad-core CPU, 2PCS 4500mAh can Work continuously for 6-8 Hours, WiFi, HDMI, Bluetooth 4.0, Windows 10 (Silver 6G+256G)",XINYANGCH,27967, Computers & Accessories ,18.94 x 11.5 x 2.36 ,3.96,2019-12-04,,N15C,,,,,240 volts,NB15A,,Bluetooth,1920*1080 ,15 ,Windows 10,Silver 8G+128G,1920*1080,,,DDR3 SDRAM,Intel,4,2.3,ATA,PC,256 GB
1976,B08P6TY5BM,"Laptop 15.6 inch, 1920x1080 HD Display, Intel j4115CPU. 8GB RAM，256GB M2 SSD，Windows 10pro",HAOMA,8803, Computers & Accessories ,14.17 x 9.25 x 0.43 ,3.3,2020-11-27,,L02,,,,Intel,,,,"Bluetooth, 802.11b",1920*1080 Lines Per Inch,15.6 ,Windows 10 Pro,Gray,Intel UHD 600,,,DDR4 SDRAM,Intel,4,1.8,Serial ATA-300,PC,
1977,B08PVGW9K3,"Used Well Chromebook C200M -11.6 inches 2.16-GHz Intel Bay Trail-M Dual-Intel Core N2830 CPU with 4GB of RAM and 16GB of Flash Storage, Chrome OS-Black/Silver",Ubrands,1065, Computers & Accessories ,12 x 7.9 x 0.8 ,3.51,2020-12-07,,ASUS C200m,,1 Lithium ion batteries required. (included),,,,ASUS Chromebook,,Bluetooth,1366 x 768 ,11.6 ,Windows,,N2830,,,DDR3 SDRAM,Intel,2,2.16,ESATA,PC,16 GB
1978,B08JBVT48L,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, HD IPS Display, Windows 10, Touch Numeric Keypad, Dual Band WiFi, Grey",Winnovo,3612, Computers & Accessories ,14.21 x 9.96 x 2.91 ,4.37,2020-11-08,,Winnovo N140,,1 Lithium Polymer batteries required. (included),Integrated,,220 volts_of_alternating_current,Winnovo N140,,"802.11bgn, 802.11ac",1366*768 ,14 ,Windows 10 S,Gray,Intel HD Graphic 500,,,DDR3 SDRAM,Intel,2,,USB 3.0,PC,128 GB
1979,B08BG73YCM,TopSeller THINKPAD T15 I7-10510U 1.8G 15.6IN NT 8GB 256GB,LENOVO PREMIUM,69764, Computers & Accessories ,9.8 x 14.4 x 0.75 ,3.99,2020-06-18,,20S6001SUS,,1 Lithium ion batteries required.,,,,Lenovo Thinkpad,,,,15.6 ,,,,,,,,0,,,,256 GB
1980,B00TCULFJ4,"Asus N550JX-DS71T 15.6-Inch Full HD Touchscreen Laptop (Intel Core i7-4720HQ, 8GB DDR3L RAM, 1TB HDD, Windows 8.1), Silver",ASUS,61442, Computers & Accessories ,10 x 15.1 x 1.1 ,6.0,2015-03-12,,N550JX-DS71T,5 Hours,1 Lithium ion batteries required. (included),Dedicated,NVIDIA,,Asus N550JX,,802.11ac,1920*1080 ,15.6 ,Windows 8.1,Silver,Nvidia GTX950M 2GB DDR3,,3,DDR3 SDRAM,Intel,4,1.6,Serial ATA,PC,1 TB
1981,B005AKPSKC,"New ASUS TUF Gaming Flagship FX705GM 17.3"" FHD IPS Display Laptop, Latest Intel 6-Core i7-8750H up to 4.1GHz, 16GB RAM, 512GB PCI-e SSD+2TB HDD, NVIDIA GeForce GTX 1060, Backlit Keyboard, Windows 10",ASUS,68541, Computers & Accessories ,16.5 x 11.8 x 1.1 ,5.73,2011-07-05,,FX705GM,,,Dedicated,Nvidia,,FX705GM,,"Bluetooth, 801.11ac",1920 x 1080,17.3 ,Windows 7 Home Premium (64-Bit),MorganProducts9,NVIDIA GeForce GTX 560M,1,2,SODIMM,Intel,6,4.1,Solid State,PC,16
1982,B0824WGNSZ,"New Samsung 11.6"" Chromebook 3 Intel Atom x5 E8000 4GB Memory 16GB eMMC 802.11ac 500C13",SAMSUNG,22376, Computers & Accessories ,11.4 x 0.7 x 8 ,3.3,2019-11-29,,XE500C13-S04US,11 Hours,1 Lithium Polymer batteries required. (included),Integrated,Allwinner,,XE500C13,,802.11ac,1366 x 768,11.6 ,Chrome OS,Black,Intel HD Graphics,1,1,DDR3L-1600 SDRAM,Intel,2,,Unknown,PC,64
1983,B082P5TQ92,"HP 15DY1078NR / 7PD87UA#ABA / 7PD87UA#ABA 15 I7, 8GB, 256GB SSD, Windows 10",HP,121782, Computers & Accessories ,12 x 19 x 3 ,4.85,2019-12-12,,7PD87UA#ABA,1 days,,Integrated,Intel,120 volts,7PD87UA#ABA,7PD87UA#ABA,"Bluetooth, 802.11b",1366 x 768,15.6 ,Windows 10,,Intel Iris Plus Graphics,1,1,DDR4 SDRAM,Intel,1,2.4,,,256
